OID_;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstige;ULICHTVERH;IstGkfz;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLAE;IstStrassenzustand
181730;08;1;11;000;2021;06;21;5;3;6;6;0;1;1;0;0;1;0;513100,532097926363349;5403030,425624191761017;9,178326098000070;48,780136709000033;08210603111110870390;0
181731;08;1;16;033;2021;05;14;1;2;0;7;1;0;0;0;0;0;0;531801,762243966571987;5388736,317910101264715;9,431782431000045;48,650874718000068;08210516116400862840;0
181732;08;1;18;081;2021;06;12;3;3;4;6;1;0;0;0;0;0;0;518730,800195862539113;5412099,230698358267546;9,255379470000037;48,861573885000041;08210601118300878710;0
181736;08;3;35;043;2021;05;16;6;3;1;5;1;1;0;0;0;0;0;513546,550567608326674;5279424,392681607976556;9,180445672000076;47,668069712000033;08210514335100812050;0
181737;08;1;18;076;2021;05;13;1;3;1;7;1;1;0;0;0;0;0;501657,559000001288950;5427513,861999530345201;9,022662279000031;49,000520247000054;08210516118600817840;0
181738;08;4;35;059;2021;06;18;3;3;0;1;1;0;0;0;0;0;0;513789,504347313195467;5289309,524809991940856;9,183994712000072;47,757006979000039;08210601435200967850;0
181739;08;2;37;040;2021;05;12;7;3;0;7;1;0;0;0;0;0;0;471594,142000000923872;5367219,260999513790011;8,615792108000051;48,457468453000047;08210508231000789460;0
181740;08;1;16;081;2021;05;14;7;3;2;6;1;1;0;0;0;0;0;517404,156000001356006;5385353,061999518424273;9,236161994000042;48,621005456000034;08210529116500855720;0
181746;08;4;26;134;2021;05;19;5;3;0;1;1;0;0;0;0;0;0;555496,345581659115851;5333627,876654807478189;9,746181842000055;48,153475968000066;08210520426010832110;0
181748;08;2;22;000;2021;05;14;5;3;0;1;1;0;0;0;0;0;0;461524,395693319849670;5480266,968228179961443;8,468906627000024;49,473830330000055;08210506222500784460;1
181749;08;1;11;000;2021;05;16;4;3;1;5;1;1;0;0;0;0;0;512047,413184671662748;5409120,997029408812523;9,164169731000072;48,834948055000041;08210526111500840440;0
181750;08;4;16;041;2021;06;19;1;3;8;6;1;0;0;0;1;0;0;506850,055745808407664;5375707,121387034654617;9,092791771000066;48,534432614000082;08210606416010876240;0
181752;08;3;35;043;2021;05;21;1;3;0;1;1;0;0;0;0;1;0;513224,453623355366290;5278952,071480983868241;9,176140931000020;47,663826589000053;08210523335100851610;0
181753;08;1;15;051;2021;05;17;2;3;1;5;1;1;0;0;0;0;0;503782,808767332695425;5385452,915137143805623;9,051331147000042;48,622134440000082;08210510115100817300;0
181755;08;3;17;089;2021;05;14;7;2;0;1;1;0;0;0;0;0;0;428256,675950502976775;5379019,953184910118580;8,027656790000037;48,560167575000037;08210529317100848190;0
181757;08;1;11;000;2021;05;07;5;3;5;2;1;1;0;0;0;0;0;518755,836754335090518;5402741,290083751082420;9,255292951000058;48,777390873000058;08210506111250784070;0
181758;08;4;26;014;2021;05;05;2;3;6;1;0;1;1;0;0;1;0;551997,642882916145027;5319644,924042923375964;9,697440304000054;48,027975828000081;08210517426300803940;0
181759;08;3;16;045;2021;05;15;3;3;1;7;1;0;0;0;0;0;0;413980,312327854335308;5324677,958162978291512;7,845289908000041;48,069573310000067;08210525316200841770;0
181761;08;4;17;079;2021;05;14;4;3;4;2;1;1;0;0;0;0;0;501680,516427845694125;5340117,992049723863602;9,022622230000025;48,214286675000039;08210512417100794210;0
181762;08;3;35;043;2021;06;16;4;3;0;2;1;1;0;0;0;0;0;512959,504462853074074;5278333,892708977684379;9,172593667000058;47,658269777000044;08210602335100154140;0
181763;08;4;35;024;2021;05;15;7;2;8;7;1;0;0;0;0;0;0;526994,374493832699955;5278822,200296506285667;9,359536323000043;47,662229929000034;08210508435200787900;0
181764;08;2;12;000;2021;05;11;4;2;2;6;1;1;0;0;0;0;0;459126,296686699613929;5430768,441328391432762;8,440857590000064;49,028444727000078;08210519212010827300;0
181765;08;3;35;075;2021;05;10;6;3;2;6;1;1;0;0;0;0;0;487980,479752467945218;5290055,290420964360237;8,839601633000029;47,763752457000066;08210528335300851680;0
181766;08;1;19;020;2021;05;12;2;3;5;7;1;0;0;0;1;0;0;519030,355753497220576;5409696,606431117281318;9,259351973000037;48,839951340000027;08210531119200859570;0
181772;08;3;17;096;2021;06;12;5;3;5;3;1;1;0;0;0;0;0;419661,490066841244698;5368039,860590040683746;7,913300322000055;48,460361668000075;08210603317500867110;0
181773;08;1;25;046;2021;06;11;2;2;5;3;1;1;0;0;0;0;0;517705,299660002812743;5433528,764246976003051;9,242329750000067;49,054375563000065;08210607121600871130;0
181777;08;3;17;065;2021;05;17;4;3;8;1;1;0;0;0;0;0;0;417199,148727926425636;5355241,698534818366170;7,882524701000023;48,344925004000061;08210512317300801720;0
181778;08;3;16;010;2021;06;16;4;2;0;1;1;0;0;0;0;0;0;431841,171664557419717;5337995,174528036266565;8,082883597000034;48,191531893000047;08210602316200881280;0
181779;08;1;11;000;2021;05;12;1;2;0;7;1;1;0;0;0;0;0;506833,831000002101064;5398423,772999521344900;9,092946651000034;48,738795759000027;08210509111500807620;0
181780;08;2;16;015;2021;05;11;3;3;0;1;1;0;0;0;0;0;0;449093,616999998688698;5406442,185999523848295;8,306657819000066;48,808881484000040;08210518216300807680;1
