OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
22831;08;2;12;000;2019;02;14;6;3;0;3;0;1;1;0;0;0;0;456267,194244597110000;5428245,664463022700000;8,402019814000028;49,005555968000067;1
22835;08;4;25;020;2019;01;13;4;3;0;3;0;1;1;0;0;0;0;558350,194824432020000;5361517,195511242400000;9,788401084000043;48,404110007000043;0
22855;08;3;26;054;2019;02;13;6;3;6;4;0;0;1;1;0;0;0;442993,691926840690000;5327985,300358593500000;8,234272647000068;48,102580748000037;1
22870;08;2;22;000;2019;01;17;4;3;1;5;0;1;1;0;0;0;0;461951,143483597790000;5481467,696014622200000;8,474681413000042;49,484657156000026;0
22885;08;2;22;000;2019;02;07;6;3;6;4;1;0;0;1;0;0;1;462941,766000000760000;5482580,570999998600000;8,488253449000069;49,494728199000065;0
22889;08;1;18;050;2019;01;15;4;3;6;3;0;0;1;1;0;0;0;506880,202089666390000;5416877,473039973500000;9,093886896000072;48,904802591000077;0
22890;08;2;37;004;2019;02;09;6;3;6;4;0;0;1;1;0;0;0;453572,027725507510000;5372732,987877590600000;8,371430898000028;48,505997468000032;1
22893;08;1;11;000;2019;02;07;6;3;6;2;1;0;1;1;0;0;0;515814,955041560340000;5405505,825007153700000;9,215370203000020;48,802342017000058;1
22904;08;4;15;080;2019;01;10;3;3;0;1;0;1;0;0;0;0;0;511758,864283236670000;5374082,479448339000000;9,159241106000025;48,519744012000046;2
22919;08;1;28;047;2019;02;18;6;3;5;3;2;1;1;0;0;0;0;553851,326584147290000;5495209,173214796900000;9,745355553000024;49,607051601000080;1
22920;08;3;17;041;2019;01;12;3;3;6;4;0;0;1;1;0;0;0;438762,304276749490000;5348294,417878612900000;8,174511581000047;48,284887827000034;1
22930;08;1;19;067;2019;02;07;6;3;6;4;1;0;1;1;0;0;0;539036,084259619940000;5407051,568753337500000;9,531735702000049;48,815222232000053;1
22931;08;2;21;000;2019;01;18;3;3;5;2;2;1;1;0;0;0;0;476978,268360633400000;5475432,146013651000000;8,682498703000022;49,431124926000052;0
22932;08;3;35;075;2019;02;12;6;3;5;2;0;1;1;0;0;0;0;486998,735171363690000;5289725,604345178200000;8,826510348000056;47,760767044000033;1
22934;08;2;11;000;2019;01;13;3;3;6;7;0;0;1;1;0;0;0;442535,493120886390000;5403065,546416072200000;8,217817060000073;48,777936448000048;0
