FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrasse;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
114994;114995;08;4;15;059;2016;07;17;6;2;0;1;0;1;1;0;0;0;0;0;517250,672399999980000;5365081,352699999700000;9,233240308999999;48,438639748000000
114995;114996;08;1;21;000;2016;07;16;3;3;5;3;0;0;1;1;0;1;0;0;515964,633500000000000;5443879,090200000400000;9,218914829999999;49,147528373999997
114996;114997;08;2;26;098;2016;06;08;5;3;4;6;0;0;1;0;0;0;0;0;477700,237000000020000;5460354,190999999600000;8,693300177999999;49,295526860000003
115001;115002;08;1;11;000;2016;07;12;2;3;5;3;0;0;1;1;0;0;0;0;513387,321000000000000;5402516,770999999700000;9,182213159000000;48,775509808000002
115002;115003;08;3;16;056;2016;07;19;6;2;4;6;0;0;1;1;0;0;0;0;420341,441200000000000;5326450,371500000400000;7,930333841000000;48,086343368000001
115004;115005;08;2;22;000;2016;06;18;5;3;0;5;0;0;1;1;0;0;0;0;465045,264000000020000;5483903,871100000100000;8,517182974000001;49,506755484000003
115005;115006;08;1;19;020;2016;07;17;3;3;6;7;0;0;0;1;1;0;0;0;520353,402999999990000;5406258,104000000300000;9,277212028999999;48,808977337000002
115006;115007;08;2;16;015;2016;06;15;5;3;6;2;0;0;0;1;1;0;0;0;450051,606600000000000;5406210,517500000100000;8,319732804999999;48,806875298999998
115007;115008;08;2;16;041;2016;07;19;2;2;8;1;0;0;1;0;0;0;0;0;434220,934000000010000;5391551,826999999600000;8,106492950000000;48,673547558000003
115008;115009;08;3;17;145;2016;07;11;2;2;0;1;0;0;1;0;0;0;0;0;442608,982499999980000;5349806,107200000400000;8,226154534999999;48,298847336000001
115010;115011;08;4;35;034;2016;07;17;7;2;5;3;0;1;1;1;0;0;0;0;530145,084599999940000;5284338,928200000000000;9,401880523999999;47,711727293000003
115011;115012;08;1;11;000;2016;07;19;2;3;5;3;0;0;1;1;0;0;0;0;513958,732000000020000;5403401,906999999700000;9,190020573000000;48,783459856000000
115012;115013;08;3;16;043;2016;07;15;6;2;0;7;0;0;1;0;0;0;0;0;412183,204299999980000;5330937,149500000300000;7,819883203000000;48,125630581999999
115014;115015;08;3;26;027;2016;07;17;3;3;0;1;0;0;1;0;0;0;0;0;462187,480300000000000;5308146,557000000000000;8,493826644000000;47,925523968999997
115015;115016;08;4;35;016;2016;07;16;2;2;3;6;0;0;1;1;0;0;0;0;531353,554099999950000;5279988,514999999700000;9,417678185000000;47,672527193000001
115016;115017;08;1;11;000;2016;07;12;2;3;6;4;0;0;0;1;1;0;0;0;511838,134000000020000;5406403,960000000000000;9,161239477000001;48,810509998999997
115017;115018;08;2;16;015;2016;07;12;3;3;6;7;0;0;0;1;1;0;0;0;449993,730600000010000;5405885,740799999800000;8,318984187000000;48,803949185000000
115018;115019;08;4;36;082;2016;07;19;2;3;0;1;0;0;1;0;0;0;0;0;546852,902800000040000;5293963,057900000400000;9,625647407000001;47,797319776000002
115020;115021;08;3;15;006;2016;07;14;2;3;5;3;0;0;1;1;0;0;0;0;401942,161299999980000;5310500,354399999600000;7,686974765000000;47,940311121999997
115021;115022;08;1;19;020;2016;07;12;6;3;3;2;0;0;1;0;0;0;0;0;519850,339700000010000;5408924,531700000200000;9,270489461000000;48,832980251999999
115023;115024;08;3;15;113;2016;07;15;6;3;1;5;0;0;1;1;0;0;0;0;440981,289800000030000;5307361,064500000300000;8,210082682000000;47,916855386000002
115024;115025;08;2;16;007;2016;06;21;5;2;8;6;1;0;1;0;0;0;0;1;438707,298000000010000;5393374,644999999600000;8,167156013000000;48,690400623999999
115026;115027;08;4;36;081;2016;07;12;2;3;0;1;0;0;1;0;0;0;0;0;562992,639399999990000;5282310,704699999700000;9,839460259000001;47,691111049000000
115028;115029;08;2;26;096;2016;07;17;3;2;6;4;0;0;0;1;1;0;0;0;474277,034300000000000;5487971,719200000200000;8,644429756999999;49,543806103999998
115029;115030;08;1;19;020;2016;07;15;6;3;5;3;0;0;1;1;0;0;0;0;519456,568099999970000;5406650,140900000000000;9,265015921000000;48,812532756000003
115030;115031;08;4;36;049;2016;07;13;7;3;6;7;0;0;0;1;1;0;0;0;578006,554299999960000;5283603,557699999800000;10,039741030000000;47,701103766999999
115031;115032;08;4;21;000;2016;07;09;6;3;6;4;0;0;0;1;1;0;0;0;570903,589200000050000;5362259,793399999800000;9,958119784000001;48,409502771000000
115036;115037;08;1;11;000;2016;07;16;2;3;6;4;0;0;0;0;1;0;0;1;517043,506500000020000;5405998,588399999800000;9,232121102000001;48,806742368999998
115037;115038;08;1;36;019;2016;06;20;5;3;8;1;0;0;1;0;0;0;0;0;586899,692400000060000;5422159,190000000400000;10,186822090000000;48,946247929000002
115038;115039;08;3;11;000;2016;07;13;6;3;3;2;0;0;1;1;0;0;0;0;414450,572900000030000;5318019,270200000100000;7,852931855000000;48,009739558000000
115039;115040;08;3;11;000;2016;07;21;3;3;0;1;1;0;1;0;0;0;0;0;410212,215600000000000;5314742,627999999600000;7,796801093000000;47,979684040999999
115041;115042;08;1;18;070;2016;07;17;6;3;5;3;0;0;1;0;0;0;0;0;520566,580100000020000;5424080,543499999700000;9,281012448000000;48,969295322999997
115043;115044;08;4;36;010;2016;07;15;1;2;0;7;0;0;1;0;0;0;0;0;562030,761599999970000;5299561,095900000100000;9,829106384999999;47,846399161000001
115044;115045;08;1;18;048;2016;07;15;6;3;5;3;0;0;1;1;0;0;0;0;512941,157599999980000;5415732,987300000200000;9,176557813000001;48,894410118000003
115046;115047;08;1;19;087;2016;07;17;3;3;4;2;0;0;1;0;0;1;0;0;528696,283900000040000;5423753,069100000000000;9,392067611000000;48,966025492000000
115047;115048;08;1;36;019;2016;06;20;5;3;0;1;0;0;1;0;0;0;0;0;588970,641999999990000;5424047,344999999700000;10,215511810000001;48,962934912000001
115049;115050;08;3;11;000;2016;07;12;2;3;3;2;0;0;1;1;0;0;0;0;412965,301900000020000;5317015,778500000000000;7,833224833000000;48,000512278999999
115051;115052;08;2;36;067;2016;07;18;3;2;5;3;0;0;1;1;0;0;0;0;487035,547000000020000;5410821,551000000000000;8,823280042000000;48,850227461000003
115052;115053;08;1;17;019;2016;07;05;2;2;6;4;0;0;0;1;1;0;0;0;552223,429400000020000;5394735,065600000300000;9,709793647000000;48,703463065000001
115055;115056;08;3;36;091;2016;07;13;7;3;5;3;0;0;1;1;0;0;0;0;395786,296299999990000;5274129,337100000100000;7,613297839000000;47,612186166000001
115056;115057;08;4;36;078;2016;07;16;1;2;2;6;0;0;1;0;0;0;0;0;559407,126999999980000;5291986,111800000100000;9,793004028000000;47,778497797000000
115057;115058;08;3;11;000;2016;07;00;6;3;0;1;2;0;1;0;0;0;0;0;410745,998900000010000;5315345,745400000400000;7,803827077000000;47,985183929999998
115058;115059;08;1;19;008;2016;07;20;3;3;3;2;0;0;1;1;0;0;0;0;532047,065300000020000;5420434,745400000400000;9,437585753000001;48,936011071999999
115060;115061;08;4;36;052;2016;07;12;2;3;3;3;0;0;1;1;0;0;0;0;566192,048700000040000;5293607,967899999600000;9,883810234000000;47,792427334000003
115064;115065;08;1;16;019;2016;07;12;6;3;4;1;0;0;1;0;0;0;0;0;525370,172600000050000;5396572,553299999800000;9,344941702000000;48,721663290999999
115066;115067;08;4;16;041;2016;07;18;1;2;5;3;0;0;1;0;0;0;0;1;503641,887999999980000;5372255,742999999800000;9,049303386000000;48,503409568000002
115067;115068;08;3;15;109;2016;07;08;6;3;5;3;0;0;1;1;0;0;0;0;422616,174000000000000;5314622,506000000100000;7,963011213000000;47,980224210000003
115068;115069;08;3;35;022;2016;07;08;7;2;6;2;0;1;0;1;1;0;0;0;482915,920800000020000;5300385,057799999600000;8,771609335000001;47,856579312999997
115071;115072;08;1;18;060;2016;07;06;3;3;3;2;0;0;1;1;0;0;0;0;523132,395200000030000;5429657,824099999900000;9,316387615000000;49,019374962999997
115072;115073;08;1;27;014;2016;06;07;5;2;0;1;0;1;1;0;0;0;0;0;578970,406899999940000;5442966,061700000400000;10,082604529999999;49,134447211000001
115073;115074;08;4;21;000;2016;07;17;2;3;0;1;0;1;1;0;0;0;0;0;570661,770699999990000;5358562,053000000300000;9,954230360000000;48,376267577000000
115075;115076;08;3;36;050;2016;07;09;2;2;6;4;0;0;0;1;1;0;0;0;399667,425099999990000;5274396,940100000200000;7,664865408000000;47,615205930000002
115076;115077;08;1;16;071;2016;07;17;6;3;5;7;0;0;1;0;0;0;0;0;527919,074700000000000;5391097,863400000100000;9,379226599000001;48,672304603999997
115077;115078;08;3;35;043;2016;07;00;7;3;0;2;2;0;1;1;0;0;0;0;512952,947999999970000;5278739,074099999900000;9,172518359000000;47,661915600999997
115079;115080;08;2;12;000;2016;07;20;6;3;5;3;0;0;1;1;0;0;0;0;460412,378000000030000;5427285,464300000100000;8,458789763000000;48,997198574000002
115080;115081;08;1;19;020;2016;06;17;5;3;4;2;0;0;1;1;0;0;0;0;520429,272999999990000;5406942,769299999800000;9,278279445000001;48,815133963000001
115082;115083;08;3;36;050;2016;07;10;1;3;0;7;0;0;1;0;0;0;0;0;399818,803499999980000;5275291,068199999600000;7,666674743000000;47,623272346999997
