OBJECTID;UIDENTSTLA;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
153862;08170802436310089010;08;4;36;049;2017;08;15;4;3;6;4;0;1;1;0;0;0;0;578113,518700000020000;5282594,646499999800000;10,040985814000067;47,692014496000070
153866;08170802426113056310;08;4;26;100;2017;08;15;4;3;0;1;1;0;0;0;0;0;0;576928,245400000010000;5318131,101099999600000;10,031513737000068;48,011841549000053
153868;08170802416200055580;08;4;16;041;2017;08;18;4;3;0;7;1;0;0;0;0;0;0;505217,971100000020000;5375231,488300000300000;9,070677399000033;48,530169352000030
153870;08170802416010055610;08;4;15;061;2017;08;17;4;3;9;1;1;0;0;0;0;0;0;514113,319100000020000;5373461,129700000400000;9,191104452000047;48,514105629000028
153874;08170802335300116980;08;3;35;075;2017;08;20;4;3;5;7;1;1;0;0;0;0;0;487602,915500000000000;5289163,020300000000000;8,834588576000044;47,755717080000068
153876;08170802327100134160;08;3;27;036;2017;08;22;4;2;0;1;1;0;0;0;0;2;0;491709,942400000000000;5318905,541400000500000;8,888816257000030;48,023386676000030
153880;08170802317200077720;08;3;17;057;2017;08;15;4;3;0;7;1;0;0;0;0;0;0;413283,664999999980000;5382993,871100000100000;7,823938121000026;48,594018192000078
153881;08170802311400065360;08;3;15;006;2017;08;16;4;3;6;4;0;1;1;0;0;0;0;402755,998000000020000;5308208,774400000500000;7,698386786000071;47,919822482000029
153884;08170802311010075040;08;3;11;000;2017;08;13;4;3;5;3;1;0;0;0;1;0;0;413237,112700000000000;5315452,067200000400000;7,837184021000041;47,986483111000041
153886;08170802311010055860;08;3;15;095;2017;08;14;4;2;0;1;1;0;0;0;0;0;0;427838,672700000000000;5318894,288800000200000;8,032266580000055;48,019263206000062
153887;08170802311010054920;08;3;36;050;2017;08;16;4;3;5;3;1;0;0;0;1;0;0;399720,556600000010000;5274036,538300000100000;7,665654724000035;47,611972214000048
153888;08170802299200056230;08;2;12;000;2017;08;12;4;3;4;6;1;1;0;0;0;0;0;457586,292800000000000;5428887,358199999700000;8,419988472000057;49,011420156000042
153889;08170802299200054840;08;2;12;000;2017;08;17;4;2;5;3;1;1;0;0;0;0;0;458686,348100000000000;5431318,376100000000000;8,434783470000070;49,033362145000069
