OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
155633;08;1;21;000;2018;07;08;3;2;5;3;0;1;1;0;0;0;0;0;515483,182600000000000;5443341,457600000300000;9,212292329000036;49,142704520000052
155634;08;3;27;049;2018;07;10;5;3;6;2;0;0;0;1;0;0;1;0;472482,193499999990000;5324407,789699999600000;8,630589279000049;48,072351016000027
155635;08;1;21;000;2018;07;08;3;3;4;3;0;1;1;0;0;0;0;0;517181,639499999990000;5443399,144899999700000;9,235582399000066;49,143178271000068
155636;08;1;19;020;2018;07;17;3;3;5;3;0;1;1;0;0;0;0;0;519334,786399999980000;5409048,831199999900000;9,263470247000043;48,834114691000082
155637;08;4;36;055;2018;07;12;5;2;4;2;0;1;0;0;0;1;0;0;578037,768399999940000;5292100,447900000000000;10,041680802000030;47,777538964000030
155638;08;4;36;082;2018;07;06;5;3;0;3;0;1;1;0;0;0;0;0;547866,332399999960000;5294986,813799999700000;9,639292316000024;47,806455891000041
155639;08;1;19;020;2018;07;08;3;3;5;3;0;1;1;0;0;0;0;0;519933,163899999990000;5407593,770899999900000;9,271553355000037;48,821006358000034
155641;08;1;19;067;2018;07;10;3;2;4;6;0;1;0;0;0;0;1;0;539797,823199999980000;5406105,165500000100000;9,542019585000048;48,806660525000041
155642;08;4;16;041;2018;07;14;5;3;4;6;0;1;0;0;0;0;0;0;504341,309000000010000;5373711,487999999900000;9,058787194000047;48,516501560000052
155643;08;4;16;041;2018;07;11;5;3;6;7;0;0;1;1;0;0;0;0;504109,416399999990000;5374047,030899999700000;9,055650363000041;48,519521788000077
155644;08;1;16;078;2018;07;18;3;3;5;3;0;1;0;0;1;0;0;0;508797,534199999990000;5394808,940200000100000;9,119577729000071;48,706251970000039
155645;08;1;15;021;2018;07;09;3;3;5;2;0;1;0;0;0;0;0;0;490420,332400000010000;5382021,308899999600000;8,870087236000074;48,591201069000078
155647;08;1;11;000;2018;07;21;3;2;0;1;0;1;0;0;0;0;0;0;513988,463099999990000;5402779,654900000400000;9,190404127000022;48,777861464000068
155648;08;4;16;041;2018;07;18;5;2;6;7;0;0;1;1;0;0;0;0;502809,653500000010000;5374525,773900000400000;9,038052000000050;48,523835898000073
155649;08;1;11;000;2018;07;12;3;3;5;3;0;1;1;0;0;0;0;0;511891,804400000020000;5403766,775200000000000;9,161894120000056;48,786785133000080
155651;08;4;36;009;2018;07;13;2;3;6;4;0;0;1;1;0;0;0;0;556427,870299999950000;5306988,433199999900000;9,755195441000069;47,913736269000026
155652;08;4;15;061;2018;07;12;5;3;6;4;0;1;0;1;0;0;0;0;515296,981600000000000;5371415,814100000100000;9,207057021000026;48,495677563000072
155653;08;4;35;057;2018;07;07;2;3;2;6;0;1;0;0;0;0;0;0;544880,496000000040000;5278779,540000000000000;9,597745322000037;47,660852338000041
155655;08;3;36;091;2018;07;23;5;3;3;6;2;1;0;0;0;0;0;0;395738,841000000010000;5271310,911999999500000;7,613336749000041;47,586826296000027
155658;08;4;26;087;2018;07;09;2;3;6;4;0;0;1;1;0;0;0;0;570825,105100000040000;5324549,962500000400000;9,950752249000061;48,070290496000041
155660;08;3;36;057;2018;07;19;5;3;0;1;0;1;1;0;0;0;0;0;407749,162900000000000;5277561,345300000200000;7,771716347000051;47,644873106000034
155661;08;4;36;064;2018;07;17;2;3;5;3;0;1;1;0;0;0;0;0;545617,917000000020000;5291911,191399999900000;9,608941396000034;47,778947806000076
155662;08;3;35;063;2018;07;10;5;3;0;1;0;1;0;0;0;0;0;0;498487,318800000010000;5287787,460400000200000;8,979821387000072;47,743457789000047
155663;08;4;36;064;2018;07;23;2;3;0;1;2;1;0;0;0;0;0;0;546679,905299999980000;5293442,050699999600000;9,623281376000023;47,792644854000059
155664;08;3;35;043;2018;07;23;5;3;0;7;2;1;0;0;0;0;0;0;513659,582400000010000;5281995,474700000100000;9,182031746000064;47,691201021000040
155666;08;3;35;002;2018;07;11;5;2;6;7;0;0;1;1;0;0;0;0;504858,355900000020000;5284734,203700000400000;9,064774594000028;47,715969260000065
155667;08;4;26;121;2018;07;19;2;3;5;3;0;1;0;0;0;0;0;0;538064,404400000000000;5335142,331100000100000;9,511946356000067;48,168383437000045
155669;08;3;27;046;2018;07;14;5;3;2;6;0;1;1;0;0;0;0;0;480302,837600000030000;5323899,799999999800000;8,735598950000053;48,068070199000033
155670;08;4;21;000;2018;07;08;2;3;5;3;0;1;0;0;0;0;1;0;572292,021900000050000;5360546,662800000000000;9,976583804000029;48,393934994000062
