OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
87318;08220617127202810890;08;1;27;014;2022;06;09;6;3;5;3;0;0;1;1;0;0;0;0;575444,864678257028572;5443558,766361299902201;10,034392293000099;49,140220987000099
87322;08220717136300907410;08;1;36;042;2022;07;13;1;2;0;7;0;0;1;0;0;0;0;0;546795,182416766998358;5404153,701950360089540;9,637090869000080;48,788618895000099
87324;08220625311010849740;08;3;11;000;2022;06;09;7;3;1;5;0;0;1;1;0;0;0;0;414003,942999986989889;5315218,071999499574304;7,847505957000070;47,984481801000101
87326;08220723211100925380;08;2;11;000;2022;07;17;7;2;8;1;0;0;1;0;0;0;0;0;446442,253293352026958;5404267,409582580439746;8,270832986000070;48,789096083000103
87329;08220719416010917040;08;4;16;025;2022;07;08;3;2;2;6;0;0;1;1;0;0;0;0;509018,263120251009241;5358277,217631409876049;9,121786916000080;48,377597940999998
87330;08220715335100911140;08;3;35;043;2022;07;03;6;2;0;1;2;0;1;0;0;0;0;0;512197,935516975005157;5279292,398945299908519;9,162477953000060;47,666908919999997
87339;08220705435200874740;08;4;35;005;2022;07;10;3;3;0;7;0;0;1;0;0;0;0;0;523537,179999999993015;5285268,250999489799142;9,313838714000040;47,720363566000103
87344;08220714121400983490;08;1;25;013;2022;07;22;5;2;0;1;2;0;1;0;0;0;0;0;504466,431695043982472;5435764,737206820398569;9,061156318000030;49,074727494999998
87350;08220707311010876140;08;3;11;000;2022;07;00;5;3;0;7;2;0;1;0;0;0;0;0;412850,279999984020833;5315337,686999499797821;7,832023930000050;47,985401627999998
87358;08220723311100924400;08;3;15;133;2022;07;19;7;2;4;1;0;0;1;1;0;0;0;0;399952,915487396996468;5328023,228137290105224;7,656255389000020;48,097616318000100
87359;08220623136100971660;08;1;36;088;2022;06;14;5;3;0;7;0;0;1;1;0;0;0;0;579898,630000010016374;5410276,216999529860914;10,088900982000000;48,840314732000103
87369;08220702436300884930;08;4;36;094;2022;07;08;7;3;5;3;0;0;1;1;0;0;0;0;572284,486186668043956;5281691,480932610109448;9,963166935000061;47,684567641000100
87371;08220722118100922110;08;1;18;007;2022;07;07;6;3;0;5;0;0;1;1;0;0;0;0;511067,168306719977409;5427876,809630130417645;9,151320827000060;49,003688185000001
87379;08220704111500872220;08;1;11;000;2022;07;10;2;3;6;2;0;0;0;1;1;0;0;0;515016,669197811977938;5396855,768552959896624;9,204183432000040;48,724546512000103
87380;08220722421200921850;08;4;21;000;2022;07;07;6;3;8;1;0;0;1;0;0;0;0;0;572498,650935427984223;5365119,538493709638715;9,980165099000031;48,435045285000101
