UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
08251114212010726600;08;2;12;000;2025;11;15;6;3;5;3;0;0;1;0;0;0;0;1;455993,658300000242889;5428256,538699999451637;8,398278659000027;49,005634339000039;1
08251111416200720290;08;4;16;025;2025;11;15;3;3;0;1;0;0;1;0;0;0;0;0;508468,635300000198185;5362261,451999999582767;9,114444859000059;48,413449912000033;1
08251017116100565190;08;1;16;019;2025;10;12;6;3;0;1;0;0;1;0;0;0;0;0;523787,865299999713898;5398651,011299999430776;9,323548414000072;48,740423274000079;1
08251110212010674620;08;2;12;000;2025;11;17;2;3;5;2;2;0;1;1;0;0;0;0;453226,823800000362098;5427902,302600000053644;8,360489506000022;49,002244481000048;1
08251027317500582410;08;3;17;096;2025;10;15;2;3;0;1;0;1;1;0;0;0;0;0;421955,738400000147521;5369186,260700000450015;7,944114028000058;48,470962267000061;1
08251111316100649110;08;3;16;017;2025;11;16;3;3;6;4;0;0;0;1;1;0;0;0;409205,899600000120699;5341795,792500000447035;7,777562491000026;48,222884880000038;1
08251108311010681220;08;3;11;000;2025;11;11;7;3;5;3;0;0;1;1;0;0;0;0;412478,890899999998510;5318004,148199999704957;7,826503814000034;48,009336542000028;1
08251021119400597120;08;1;19;091;2025;10;06;3;3;6;4;2;1;0;1;1;0;0;0;526965,077999999746680;5406774,505000000819564;9,367294847000039;48,813371016000076;1
08251017115100552260;08;1;15;044;2025;10;13;6;3;4;6;0;0;1;0;0;0;0;0;504508,253999999724329;5390258,327999999746680;9,061227437000070;48,665359944000045;1
08251022231202583230;08;2;36;004;2025;10;07;4;3;0;7;1;1;1;0;0;0;0;0;473147,251600000075996;5413138,569700000807643;8,633818062000046;48,870624974000066;1
08251113212010690350;08;2;12;000;2025;11;19;5;3;1;6;2;0;1;1;0;0;0;0;453492,750799999572337;5428930,155799999833107;8,364007441000069;49,011510167000040;1
08251031231302619350;08;2;31;000;2025;10;21;6;3;5;3;2;0;1;1;0;0;0;0;478940,997100000269711;5415329,692800000309944;8,712711383000055;48,890559471000074;1
08251017317500618590;08;3;17;057;2025;10;14;6;3;0;1;0;0;1;0;0;0;0;0;411935,200500000268221;5381725,707699999213219;7,805922921000047;48,582423739000035;1
08251022435100592760;08;4;35;016;2025;10;05;4;3;0;1;2;1;1;0;0;0;0;0;533194,552199999801815;5282173,827199999243021;9,442368609000027;47,692097468000043;1
08251029226300614370;08;2;26;029;2025;10;18;4;3;0;7;1;0;0;0;1;0;0;1;484847,849000000394881;5481796,657299999147654;8,790786499000035;49,488619706000065;1
08251106118200657510;08;1;18;019;2025;11;08;5;3;5;3;0;0;1;1;0;0;0;0;506160,163599999621511;5405525,017500000074506;9,083890494000059;48,802685342000075;1
08251021337400596600;08;3;37;126;2025;10;07;3;3;6;4;1;0;0;1;1;0;0;0;441474,424599999561906;5274622,675699999555945;8,221092794000072;47,622362711000051;1
08251114421200726650;08;4;21;000;2025;11;22;6;3;5;3;2;0;1;1;0;0;0;0;572667,060600000433624;5360664,174900000914931;9,981669719000024;48,394948933000080;1
08251021118200597390;08;1;18;080;2025;10;08;3;3;1;3;0;0;1;1;0;0;0;0;506546,628399999812245;5411608,198899999260902;9,089250592000042;48,857404913000039;1
08251113127100652750;08;1;27;100;2025;11;08;5;3;6;4;0;0;0;1;1;0;0;0;553045,627500000409782;5435825,119300000369549;9,726301275000026;49,073001737000027;1
