OID_;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstStrassenzustand;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;PLST
208991;08240812226700109210;08;2;26;060;2024;08;07;2;3;0;7;0;0;1;0;0;0;0;0;477211,235999999567866;5463367,219599999487400;8,686402830000077;49,322611001000041;1
208993;08240812226400148570;08;2;26;062;2024;08;19;2;3;0;7;0;0;1;0;0;0;0;0;471474,920400000177324;5466519,203900000080466;8,607241357000021;49,350721579000037;1
208994;08240812226400102430;08;2;26;084;2024;08;11;2;2;5;3;0;0;1;1;0;0;0;0;469117,086099999956787;5469928,532600000500679;8,574512957000024;49,381272930000080;1
208996;08240812222500098800;08;2;22;000;2024;08;08;2;3;0;7;0;0;1;0;0;0;0;0;462290,311499999836087;5477951,371700000017881;8,479698978000044;49,453050707000045;1
209000;08240812136200087670;08;1;36;019;2024;08;19;2;3;3;2;0;0;1;0;0;0;0;0;582705,995000000111759;5424447,907999999821186;10,130024054000046;48,967407531000049;1
209001;08240815136000093770;08;1;27;079;2024;08;10;5;2;0;1;0;0;1;0;0;0;0;0;561513,282700000330806;5420896,082699999213219;9,839966611000023;48,937932732000036;1
209002;08240812136000146590;08;1;36;065;2024;08;17;2;3;1;5;0;0;1;1;0;0;0;0;559931,516699999570847;5405732,325699999928474;9,816148335000037;48,801691448000042;1
209004;08240812127202089300;08;1;27;102;2024;08;19;2;3;0;1;0;0;1;0;0;0;0;0;585761,275899999774992;5435005,122300000861287;10,173990722000042;49,061939602000052;1
209005;08240812127100112950;08;1;27;076;2024;08;10;2;3;5;2;0;0;1;1;0;0;0;0;557987,983799999579787;5440083,902599999681115;9,794576673000051;49,110862192000070;1
209006;08240812119500113820;08;1;19;085;2024;08;12;2;3;6;7;0;0;0;1;1;0;0;0;531837,516499999910593;5414019,628900000825524;9,434224258000029;48,878314691000071;1
209007;08240812111500144510;08;1;11;000;2024;08;08;2;2;5;3;0;0;1;0;0;0;0;1;512242,963000000454485;5408805,937999999150634;9,166825060000065;48,832110009000075;1
209009;08240820116100118960;08;1;16;019;2024;08;10;3;3;0;7;0;0;1;0;0;0;0;0;520798,982400000095367;5401319,955800000578165;9,283030786000040;48,764539787000047;1
209011;08240811426300086400;08;4;26;097;2024;08;17;1;3;5;3;0;0;1;1;0;0;0;0;535008,353299999609590;5330794,818900000303984;9,470487920000039;48,129446099000063;1
209012;08240811426200100310;08;4;26;070;2024;08;12;1;3;2;2;0;0;1;0;0;0;0;0;562006,220200000330806;5340023,379399999976158;9,834635429000059;48,210408060000077;1
209015;08240811335400127600;08;3;35;021;2024;08;17;1;3;0;7;0;0;1;0;0;0;0;0;491998,862999999895692;5301204,334000000730157;8,893020285000034;47,864127994000057;1
209016;08240811335300110670;08;3;35;035;2024;08;20;1;3;0;1;0;0;1;0;0;0;0;0;485233,839100000448525;5289764,929800000041723;8,802958269000044;47,761082861000034;1
209018;08240811335000084390;08;3;35;063;2024;08;19;1;3;0;1;0;0;1;0;0;0;0;0;497006,417600000277162;5288268,082000000402331;8,960063404000039;47,747777049000035;1
209020;08240811317000084050;08;3;17;065;2024;08;09;1;3;0;1;0;0;1;0;0;0;0;0;413995,292999999597669;5355422,519999999552965;7,839257774000032;48,346123329000079;1
209021;08240811311300083460;08;3;11;000;2024;08;20;1;3;4;6;0;0;1;1;0;0;0;0;409193,737399999983609;5318109,337099999189377;7,782443823000051;48,009824379000065;1
209022;08240811237200083390;08;2;37;074;2024;08;11;1;2;0;7;0;0;1;0;0;0;0;0;468790,559799999929965;5371769,362700000405312;8,577533096000025;48,498269203000063;1
209025;08240827311010146900;08;3;36;050;2024;08;12;3;2;0;3;0;0;1;0;0;0;0;0;399721,855700000189245;5273439,509800000116229;7,665808619000074;47,606601929000078;1
209026;08240811226200107020;08;2;26;032;2024;08;09;1;3;0;7;0;0;1;0;0;0;0;0;466251,612999999895692;5462707,633999999612570;8,535647128000051;49,316170547000070;1
209028;08240811222500098730;08;2;22;000;2024;08;17;1;3;0;7;0;0;1;0;0;0;0;0;466184,152599999681115;5474798,881999999284744;8,533691372000021;49,424924431000079;1
209029;08240811221400144450;08;2;21;000;2024;08;18;1;3;0;4;0;0;0;0;1;0;0;1;473366,907700000330806;5469562,384099999442697;8,633087714000055;49,378180139000051;1
209030;08240811216300144310;08;2;11;000;2024;08;16;1;3;6;4;0;0;1;0;1;0;0;0;443988,201799999922514;5401156,679500000551343;8,237848796000037;48,760898336000025;1
209031;08240811215402160880;08;2;15;009;2024;08;12;1;3;0;7;0;0;1;0;0;0;0;0;470137,851800000295043;5441333,324999999254942;8,590708181000025;49,124110231000031;1
209032;08240811212702146450;08;2;15;108;2024;08;13;1;3;0;7;0;0;1;0;0;0;0;0;450612,219999999739230;5425803,446499999612570;8,324998743000037;48,983161599000027;1
209033;08240811212010110850;08;2;12;000;2024;08;09;1;3;5;3;0;0;1;1;0;0;0;0;458740,703399999998510;5429759,903000000864267;8,435685622000051;49,019347104000076;1
209034;08240811211000128530;08;2;11;000;2024;08;14;1;3;5;3;0;0;1;1;0;0;0;0;443710,194400000385940;5401795,256300000473857;8,233978951000040;48,766617373000031;1
209035;08240811136000106990;08;1;36;034;2024;08;07;1;1;0;7;0;0;1;0;0;0;0;0;564266,952600000426173;5409368,229800000786781;9,875750971000059;48,833962746000054;1
209036;08240824212010147850;08;2;12;000;2024;08;12;7;3;5;3;0;0;1;1;0;0;0;0;457346,468999999575317;5428571,606200000271201;8,416742215000056;49,008563393000031;1
209037;08240811135010110970;08;1;35;019;2024;08;20;1;3;5;3;1;0;0;1;1;0;0;1;584207,272499999962747;5392429,175100000575185;10,143958100000077;48,679225493000047;1
209038;08240811127202097390;08;1;36;018;2024;08;11;1;2;0;7;0;0;1;0;0;0;0;0;589526,960799999535084;5431033,257099999114871;10,224649719000070;49,025682882000069;1
209039;08240811126100097880;08;1;26;046;2024;08;21;1;3;6;7;1;0;0;1;1;0;0;0;549776,557000000029802;5458508,158399999141693;9,684351583000023;49,277301880000039;1
209041;08240811115400098010;08;1;15;045;2024;08;10;1;3;0;7;0;0;1;0;0;0;0;0;498671,265599999576807;5395685,648600000888109;8,981936751000035;48,714199535000034;1
209042;08240811111370083810;08;1;11;000;2024;08;20;1;3;6;2;0;0;0;1;1;0;0;0;511760,946200000122190;5406299,608899999409914;9,160185167000066;48,809572735000074;1
209043;08240820128300110910;08;1;28;131;2024;08;14;3;3;0;7;0;0;1;0;0;0;0;0;535370,551300000399351;5514918,536599999293685;9,491359962000047;49,785685844000056;1
209047;08240810415400082760;08;4;15;061;2024;08;16;7;3;5;2;0;0;1;1;0;0;0;0;513370,996600000187755;5375503,373099999502301;9,181118421000065;48,532494551000070;1
209048;08240810415300141990;08;4;15;059;2024;08;13;7;3;3;5;0;0;1;1;0;0;0;0;516734,058600000105798;5367883,240199999883771;9,226367425000035;48,463860614000055;1
209050;08240819121500108200;08;1;25;005;2024;08;17;2;3;0;1;0;0;1;0;0;0;0;0;516548,958999999798834;5457043,973899999633431;9,227469909000035;49,265933956000026;1
209052;08240810335300082420;08;3;35;075;2024;08;13;7;3;3;5;0;0;1;1;0;0;0;0;488660,802000000141561;5289908,389000000432134;8,848684212000023;47,762443036000036;1
209053;08240810335100081270;08;3;35;043;2024;08;11;7;3;0;1;0;0;1;0;0;0;0;0;513371,281000000424683;5278283,735999999567866;9,178076113000031;47,657810102000042;1
209054;08240810317600091240;08;3;17;085;2024;08;22;7;3;9;1;2;0;1;0;0;0;0;0;433756,364199999719858;5364775,734500000253320;8,104444365000063;48,432641810000064;1
209056;08240810237100081770;08;2;37;045;2024;08;20;7;3;0;1;0;0;1;0;0;0;0;0;459274,748100000433624;5361352,630200000479817;8,449741137000046;48,404014824000058;1
209058;08240810225100141920;08;2;25;058;2024;08;10;7;2;4;2;0;0;1;0;0;0;1;0;508126,963499999605119;5466844,865499999374151;9,111907170000052;49,354264002000036;1
209059;08240810222301105650;08;2;22;000;2024;08;11;7;3;5;3;0;0;1;1;0;0;0;0;463497,949400000274181;5484284,159099999815226;8,495776180000064;49,510084810000080;1
209061;08240810222200142010;08;2;22;000;2024;08;16;7;3;5;3;0;0;1;1;0;0;0;0;460574,695600000210106;5481736,422000000253320;8,455651682000052;49,486986341000033;1
209062;08240810221300141940;08;2;21;000;2024;08;12;7;3;6;7;0;0;0;1;1;0;0;0;477134,395200000144541;5473378,040200000628829;8,684770250000042;49,412654506000081;1
209064;08240816116100135140;08;1;16;019;2024;08;19;6;3;6;3;0;0;1;0;1;0;0;0;522344,471400000154972;5398377,811100000515580;9,303901710000048;48,738019041000030;1
209065;08240810212402083840;08;2;12;000;2024;08;15;7;3;1;5;0;0;1;1;0;0;0;0;455819,181400000117719;5427247,603700000792742;8,396002842000030;48,996546388000070;1
209068;08240810126100083410;08;1;26;046;2024;08;21;7;3;0;7;2;0;1;0;0;0;0;0;551427,749099999666214;5458345,616699999198318;9,707030266000061;49,275703222000061;1
209069;08240810118400088660;08;1;18;048;2024;08;00;7;3;0;6;2;0;1;0;0;0;0;1;513330,396900000050664;5415327,716700000688434;9,181855002000077;48,890756157000055;1
209070;08240810116100095170;08;1;16;019;2024;08;11;7;2;0;1;0;0;1;0;0;0;0;0;521804,130099999718368;5398177,320299999788404;9,296542155000054;48,736234591000027;1
209077;08240903216300188430;08;2;16;033;2024;09;14;3;3;5;3;0;0;1;0;0;0;0;1;446864,973399999551475;5414489,538799999281764;8,275262468000051;48,881081991000030;1
209079;08240809436200080190;08;4;36;064;2024;08;11;6;3;0;7;0;0;1;0;0;0;0;0;545965,149600000120699;5292086,429400000721216;9,613594789000047;47,780499742000075;1
209081;08240809426100103210;08;4;26;021;2024;08;11;6;2;0;1;0;0;1;0;0;0;0;0;559498,900299999862909;5329048,683100000023842;9,799353694000047;48,111919134000061;1
209083;08240809415400080900;08;4;15;061;2024;08;14;6;3;5;3;0;0;1;1;0;0;0;0;516821,984199999831617;5370794,124299999326468;9,227673961000050;48,490045648000034;1
209084;08240809335100089060;08;3;35;043;2024;08;17;6;3;5;3;0;0;1;1;0;0;0;0;511538,251899999566376;5280009,853299999609590;9,153709876000050;47,673376448000056;1
209086;08240812316100084940;08;3;16;011;2024;08;10;2;3;0;1;0;0;1;0;0;0;0;0;415286,379900000058115;5329246,930700000375509;7,861912098000062;48,110847284000045;1
209087;08240809335100083790;08;3;35;043;2024;08;13;6;3;3;6;0;0;1;1;0;0;0;0;514528,892099999822676;5281948,229900000616908;9,193614792000062;47,690756968000073;1
209089;08240901116100179140;08;1;16;019;2024;09;14;1;2;0;7;0;0;1;0;0;0;0;0;522447,001799999736249;5399642,725999999791384;9,305365109000036;48,749394391000067;1
209090;08240809326100093240;08;3;26;012;2024;08;18;6;3;5;2;0;0;1;1;0;0;0;0;462803,921900000423193;5311125,359799999743700;8,501820844000065;47,952360161000058;1
209091;08240809326000079730;08;3;35;066;2024;08;12;6;3;1;5;0;0;1;1;0;0;0;0;505992,990699999965727;5281995,081199999898672;9,079864578000070;47,691314071000079;1
209093;08240809325202087490;08;3;25;049;2024;08;07;6;3;5;3;0;0;1;1;0;0;0;0;471314,548700000159442;5334220,564300000667572;8,614254398000071;48,160583128000042;1
209094;08240809325000093320;08;3;26;074;2024;08;13;6;2;5;3;0;0;1;0;0;0;1;0;464869,245900000445545;5322330,924000000581145;8,528563683000073;48,053291908000062;1
209095;08240809317500091580;08;3;17;096;2024;08;08;6;3;5;2;0;0;1;0;0;0;1;0;421038,055399999953806;5368364,968900000676513;7,931855688000041;48,463460278000071;1
209096;08240809317100094980;08;3;17;116;2024;08;18;6;3;2;6;0;0;1;0;0;0;0;0;432793,734899999573827;5387328,986899999901652;8,087794764000023;48,635411058000045;1
