Unfall_ID;Original_Unfall_ID;Datum + Uhrzeit;Koordinaten Breitengrad;Koordinaten Längengrad;Gemeinde;Anzahl der Getöteten;Anzahl der Schwerverletzten;Anzahl der Leichtverletzten;Anzahl Beteiligte;Unfallart;Charakteristik;Besonderheiten;Lichtzeichenanlage;Lichtverhältnisse;Straßenzustand;Aufprall auf Hindernis;Unfallkategorie;Unfalltyp;Beteiligter 1: Ursachen;Beteiligter 2: Ursachen;Beteiligter 1: Verkehrsbeteiligung;Beteiligter 2: Verkehrsbeteiligung;beteiligt_fuss;beteiligt_fahrrad;beteiligt_pkw;beteiligt_sonst_kfz;beteiligt_sonst;Anzahl Fahrrad;Anzahl zu Fuß;Anzahl Pkw;Anzahl Pkw/Lkw/Bus;Anzahl sonstige Kfz;Anzahl sonstige;Anzahl sonstige Verkehrsmittel
12340;BWPV220002053070;2022-12-31T18:45:00Z;;;Karlsruhe, Stadt;0;1;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;;;kein Aufprall;Unfall mit Schwerverletzten;Unfall durch ruhenden Verkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12341;BWPV220002056913;2022-12-31T14:24:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;1
12342;BWPV220002057126;2022-10-13T08:15:00Z;;;Karlsruhe, Stadt;0;0;1;2;Unfall anderer Art;Einmündung;;;;;kein Aufprall;Unfall mit Leichtverletzten;Abbiegeunfall;;;;;FALSE;TRUE;;;;1;0;;0;;;1
12343;BWPV220002061584;2022-12-11T09:48:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;;Radverkehrsanlage neben der Fahrbahn / baulich getrennte RVA;;;;kein Aufprall;Unfall mit Leichtverletzten;Unfall im Längsverkehr;;;;;TRUE;TRUE;;;;1;1;;0;;;0
12344;BWPV220002062419;2022-12-16T14:20:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit vorausfahrendem/wartendem Fahrzeug;;;;;;kein Aufprall;Sonstiger Sachschadensunfall unter Einfluss berauschender Mittel;Unfall im Längsverkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12345;BWPV220002065047;2022-12-05T10:03:00Z;;;Karlsruhe, Stadt;0;0;0;2;Abkommen von Fahrbahn nach links;"Gefälle; Kurve";;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12346;BWPV220002066712;2022-12-30T15:45:00Z;;;Karlsruhe, Stadt;0;0;0;2;Aufprall auf Fahrbahnhindernis;Kreuzung;Radverkehrsanlage auf der Fahrbahn;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12347;BWPV220002085577;2022-12-20T18:00:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12348;BWPV220002048649;2023-01-01T09:30:00Z;;;Karlsruhe, Stadt;0;0;0;2;Abkommen von Fahrbahn nach rechts;Kurve;;;;;Schutzplanke;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Fahrunfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12349;BWPV220002049070;2023-01-02T14:41:00Z;;;Karlsruhe, Stadt;0;1;0;1;Unfall anderer Art;;;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Unfall mit Schwerverletzten;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12350;BWPV220002049227;2023-01-01T13:30:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Fahrunfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12351;BWPV220002050222;2023-01-03T16:00:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Einmündung;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12352;BWPV220002052115;2023-01-02T08:40:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12353;BWPV220002053173;2023-01-09T10:53:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;Kreuzung;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Fahrunfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12354;BWPV220002053520;2023-01-04T11:45:00Z;;;Karlsruhe, Stadt;0;0;0;1;Unfall anderer Art;;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12355;BWPV220002055239;2023-01-11T12:05:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Kreuzung;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12356;BWPV220002055442;2023-01-09T10:10:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug;Kreuzung;Radverkehrsanlage auf der Fahrbahn;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Unfall mit Leichtverletzten;Unfall im Längsverkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12357;BWPV220002055634;2023-01-09T06:40:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;Kreuzung;;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12358;BWPV220002055859;2023-01-08T21:37:00Z;;;Karlsruhe, Stadt;0;1;0;1;Unfall anderer Art;Grundstücksein-/ausfahrt;;;;;kein Aufprall;Unfall mit Schwerverletzten;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12359;BWPV220002055995;2023-01-02T12:50:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit einbiegendem/kreuzendem Fahrzeug;"Einmündung; Gefälle";;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Einbiege-/Kreuzen-Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12360;BWPV220002057747;2023-01-11T19:15:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;;"Verkehrsberuhigter Bereich; Schienengleicher Wegübergang";;;;sonstiges Hindernis;Unfall mit Leichtverletzten;Fahrunfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12361;BWPV220002058997;2023-01-11T17:00:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;Radverkehrsanlage neben der Fahrbahn / baulich getrennte RVA;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Unfall durch ruhenden Verkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12362;BWPV220002059114;2023-01-12T21:15:00Z;;;Karlsruhe, Stadt;0;0;0;2;Unfall anderer Art;Kreuzung;;;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12363;BWPV220002059734;2023-01-07T11:55:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß zwischen Fahrzeug und Fußgänger;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;TRUE;FALSE;;;;0;1;;1;;;0
12364;BWPV220002059899;2023-01-18T07:10:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;Gefälle;Radverkehrsanlage neben der Fahrbahn / baulich getrennte RVA;;;;Mast;Unfall mit Leichtverletzten;Fahrunfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12365;BWPV220002060868;2023-01-18T14:10:00Z;;;Karlsruhe, Stadt;0;0;0;2;Zusammenstoß mit vorausfahrendem/wartendem Fahrzeug;Kreuzung;;Lichtzeichenanlage in Betrieb;;;kein Aufprall;Sonstiger Sachschadensunfall ohne Alkoholeinwirkung;Unfall im Längsverkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
12366;BWPV220002060994;2023-01-19T15:09:00Z;;;Karlsruhe, Stadt;0;0;1;1;Unfall anderer Art;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Sonstiger Unfall;;;;;FALSE;TRUE;;;;1;0;;0;;;0
12367;BWPV220002061029;2023-01-05T18:52:00Z;;;Karlsruhe, Stadt;0;0;1;2;Zusammenstoß mit anfahrendem/anhaltendem/ruhendem Fahrzeug;;;;;;kein Aufprall;Unfall mit Leichtverletzten;Unfall durch ruhenden Verkehr;;;;;FALSE;TRUE;;;;1;0;;1;;;0
